[H[2JScanned file(1131.txt) 0 of 22.
% complete: 0
([2, 2, 2008, 13, 31, 9], [2, 2, 2008, 13, 31, 9], 0, 116.45851, 39.86955, 'move')
([2, 2, 2008, 13, 31, 14], [2, 2, 2008, 13, 31, 14], 0, 116.45851, 39.86956, 'move')
([2, 2, 2008, 13, 31, 24], [2, 2, 2008, 13, 31, 24], 0, 116.45859, 39.86954, 'move')
([2, 2, 2008, 13, 31, 44], [2, 2, 2008, 13, 31, 44], 0, 116.4588, 39.86943, 'move')
([2, 2, 2008, 13, 32, 29], [2, 2, 2008, 13, 32, 29], 0, 116.46157, 39.86959, 'move')
([2, 2, 2008, 13, 32, 44], [2, 2, 2008, 13, 32, 44], 0, 116.46127, 39.8703, 'move')
([2, 2, 2008, 13, 32, 49], [2, 2, 2008, 13, 32, 49], 0, 116.46127, 39.8703, 'move')
([2, 2, 2008, 13, 32, 54], [2, 2, 2008, 13, 32, 54], 0, 116.46127, 39.87029, 'move')
([2, 2, 2008, 13, 34, 9], [2, 2, 2008, 13, 34, 9], 0, 116.46541, 39.87144, 'move')
([2, 2, 2008, 13, 34, 24], [2, 2, 2008, 13, 34, 24], 0, 116.46627, 39.87019, 'move')
([2, 2, 2008, 13, 34, 30], [2, 2, 2008, 13, 34, 30], 0, 116.46628, 39.87019, 'move')
([2, 2, 2008, 13, 34, 34], [2, 2, 2008, 13, 34, 34], 0, 116.46636, 39.87017, 'move')
([2, 2, 2008, 13, 35, 10], [2, 2, 2008, 13, 35, 10], 0, 116.46768, 39.87006, 'move')
([2, 2, 2008, 13, 35, 35], [2, 2, 2008, 13, 35, 35], 0, 116.46915, 39.86995, 'move')
([2, 2, 2008, 13, 35, 40], [2, 2, 2008, 13, 35, 40], 0, 116.46961, 39.86996, 'move')
([2, 2, 2008, 13, 36, 35], [2, 2, 2008, 13, 36, 35], 0, 116.4713, 39.86737, 'move')
([2, 2, 2008, 13, 36, 45], [2, 2, 2008, 13, 36, 45], 0, 116.47133, 39.86725, 'move')
([2, 2, 2008, 13, 36, 50], [2, 2, 2008, 13, 36, 50], 0, 116.47131, 39.86723, 'move')
([2, 2, 2008, 13, 39, 25], [2, 2, 2008, 13, 39, 25], 0, 116.4549, 39.86682, 'move')
([2, 2, 2008, 13, 40, 20], [2, 2, 2008, 13, 40, 20], 0, 116.45522, 39.86976, 'move')
([2, 2, 2008, 13, 40, 25], [2, 2, 2008, 13, 40, 25], 0, 116.45522, 39.86976, 'move')
([2, 2, 2008, 13, 40, 25], [2, 2, 2008, 13, 40, 25], 0, 116.45522, 39.86976, 'move')
([2, 2, 2008, 13, 40, 30], [2, 2, 2008, 13, 40, 30], 0, 116.45522, 39.86976, 'move')
([2, 2, 2008, 13, 40, 30], [2, 2, 2008, 13, 40, 30], 0, 116.45522, 39.86976, 'move')
([2, 2, 2008, 13, 40, 35], [2, 2, 2008, 13, 40, 35], 0, 116.45522, 39.86976, 'move')
([2, 2, 2008, 13, 40, 40], [2, 2, 2008, 13, 40, 40], 0, 116.45523, 39.86976, 'move')
([2, 2, 2008, 13, 40, 45], [2, 2, 2008, 13, 40, 45], 0, 116.45523, 39.86976, 'move')
([2, 2, 2008, 13, 40, 50], [2, 2, 2008, 13, 40, 50], 0, 116.45523, 39.86976, 'move')
([2, 2, 2008, 13, 41, 55], [2, 2, 2008, 13, 41, 55], 0, 116.45032, 39.87016, 'move')
([2, 2, 2008, 13, 42, 5], [2, 2, 2008, 13, 42, 5], 0, 116.45027, 39.87013, 'move')
([2, 2, 2008, 13, 42, 10], [2, 2, 2008, 13, 42, 10], 0, 116.45024, 39.87013, 'move')
([2, 2, 2008, 13, 43, 20], [2, 2, 2008, 13, 43, 20], 0, 116.44996, 39.87334, 'move')
([2, 2, 2008, 13, 43, 25], [2, 2, 2008, 13, 43, 25], 0, 116.44996, 39.87334, 'move')
([2, 2, 2008, 13, 43, 30], [2, 2, 2008, 13, 43, 30], 0, 116.44994, 39.87335, 'move')
([2, 2, 2008, 13, 45, 15], [2, 2, 2008, 13, 45, 15], 0, 116.44987, 39.87842, 'move')
([2, 2, 2008, 13, 45, 20], [2, 2, 2008, 13, 45, 20], 0, 116.45043, 39.87901, 'move')
([2, 2, 2008, 13, 45, 30], [2, 2, 2008, 13, 45, 30], 0, 116.4504, 39.87922, 'move')
([2, 2, 2008, 13, 45, 40], [2, 2, 2008, 13, 45, 40], 0, 116.45031, 39.87931, 'move')
([2, 2, 2008, 13, 45, 45], [2, 2, 2008, 13, 45, 45], 0, 116.45028, 39.87931, 'move')
([2, 2, 2008, 13, 45, 55], [2, 2, 2008, 13, 45, 55], 0, 116.45016, 39.87933, 'move')
([2, 2, 2008, 13, 46, 10], [2, 2, 2008, 13, 46, 10], 0, 116.4502, 39.87968, 'move')
([2, 2, 2008, 13, 46, 15], [2, 2, 2008, 13, 46, 15], 0, 116.45021, 39.87973, 'move')
([2, 2, 2008, 13, 46, 25], [2, 2, 2008, 13, 46, 25], 0, 116.4504, 39.87974, 'move')
([2, 2, 2008, 13, 46, 30], [2, 2, 2008, 13, 46, 30], 0, 116.4504, 39.87974, 'move')
([2, 2, 2008, 13, 46, 35], [2, 2, 2008, 13, 46, 35], 0, 116.4504, 39.87974, 'move')
([2, 2, 2008, 13, 46, 40], [2, 2, 2008, 13, 46, 40], 0, 116.4504, 39.87974, 'move')
([2, 2, 2008, 13, 46, 45], [2, 2, 2008, 13, 46, 45], 0, 116.4504, 39.87974, 'move')
([2, 2, 2008, 13, 47, 20], [2, 2, 2008, 13, 47, 20], 0, 116.45011, 39.88079, 'move')
([2, 2, 2008, 13, 47, 30], [2, 2, 2008, 13, 47, 30], 0, 116.45007, 39.88084, 'move')
([2, 2, 2008, 13, 47, 35], [2, 2, 2008, 13, 47, 35], 0, 116.45007, 39.88084, 'move')
([2, 2, 2008, 13, 47, 40], [2, 2, 2008, 13, 47, 40], 0, 116.45007, 39.88084, 'move')
([2, 2, 2008, 13, 47, 45], [2, 2, 2008, 13, 47, 45], 0, 116.45007, 39.88089, 'move')
([2, 2, 2008, 13, 47, 45], [2, 2, 2008, 13, 47, 45], 0, 116.45007, 39.88089, 'move')
([2, 2, 2008, 13, 48, 0], [2, 2, 2008, 13, 48, 0], 0, 116.45013, 39.88136, 'move')
([2, 2, 2008, 13, 48, 5], [2, 2, 2008, 13, 48, 5], 0, 116.45016, 39.88135, 'move')
([2, 2, 2008, 13, 48, 10], [2, 2, 2008, 13, 48, 10], 0, 116.45015, 39.88135, 'move')
([2, 2, 2008, 13, 48, 15], [2, 2, 2008, 13, 48, 15], 0, 116.45015, 39.88136, 'move')
([2, 2, 2008, 13, 48, 20], [2, 2, 2008, 13, 48, 20], 0, 116.45014, 39.88137, 'move')
([2, 2, 2008, 13, 48, 25], [2, 2, 2008, 13, 48, 25], 0, 116.45012, 39.8814, 'move')
([2, 2, 2008, 13, 48, 35], [2, 2, 2008, 13, 48, 35], -1, 116.4501, 39.88154, 'move')
([2, 2, 2008, 13, 48, 30], [2, 2, 2008, 13, 49, 30], 13.0, 116.45004999999996, 39.881502142857144, 'sp')
([2, 2, 2008, 13, 49, 30], [2, 2, 2008, 13, 49, 30], 13.0, 116.45004, 39.88148, 'move')
([2, 2, 2008, 13, 49, 50], [2, 2, 2008, 13, 49, 50], -1, 116.45011, 39.88215, 'move')
([2, 2, 2008, 13, 49, 45], [2, 2, 2008, 13, 51, 15], 21.0, 116.45012363636361, 39.882169090909095, 'sp')
([2, 2, 2008, 13, 51, 15], [2, 2, 2008, 13, 51, 15], 21.0, 116.45012, 39.8822, 'move')
([2, 2, 2008, 13, 51, 30], [2, 2, 2008, 13, 51, 30], 0, 116.45015, 39.88278, 'move')
([2, 2, 2008, 13, 51, 40], [2, 2, 2008, 13, 51, 40], 0, 116.4502, 39.88295, 'move')
([2, 2, 2008, 13, 51, 45], [2, 2, 2008, 13, 51, 45], 0, 116.45026, 39.88297, 'move')
([2, 2, 2008, 13, 52, 27], [2, 2, 2008, 13, 52, 27], -1, 116.4544, 39.88315, 'move')
([2, 2, 2008, 13, 52, 22], [2, 2, 2008, 13, 53, 47], 18.0, 116.45440157894734, 39.88316105263158, 'sp')
([2, 2, 2008, 13, 53, 47], [2, 2, 2008, 13, 53, 47], 18.0, 116.45438, 39.88315, 'move')
([2, 2, 2008, 13, 54, 57], [2, 2, 2008, 13, 54, 57], 0, 116.45525, 39.88864, 'move')
([2, 2, 2008, 13, 55, 2], [2, 2, 2008, 13, 55, 2], 0, 116.45526, 39.88909, 'move')
([2, 2, 2008, 13, 55, 57], [2, 2, 2008, 13, 55, 57], 0, 116.45534, 39.89186, 'move')
([2, 2, 2008, 13, 56, 2], [2, 2, 2008, 13, 56, 2], 0, 116.45534, 39.8919, 'move')
([2, 2, 2008, 13, 56, 27], [2, 2, 2008, 13, 56, 27], 0, 116.45508, 39.89214, 'move')
([2, 2, 2008, 13, 59, 47], [2, 2, 2008, 13, 59, 47], 0, 116.45786, 39.90702, 'move')
([2, 2, 2008, 13, 59, 52], [2, 2, 2008, 13, 59, 52], 0, 116.45862, 39.90701, 'move')
([2, 2, 2008, 14, 0, 27], [2, 2, 2008, 14, 0, 27], 0, 116.46312, 39.90695, 'move')
([2, 2, 2008, 14, 0, 32], [2, 2, 2008, 14, 0, 32], 0, 116.46313, 39.90696, 'move')
([2, 2, 2008, 14, 0, 37], [2, 2, 2008, 14, 0, 37], 0, 116.46313, 39.90696, 'move')
([2, 2, 2008, 14, 2, 12], [2, 2, 2008, 14, 2, 12], 0, 116.46639, 39.90689, 'move')
([2, 2, 2008, 14, 2, 17], [2, 2, 2008, 14, 2, 17], 0, 116.46641, 39.90689, 'move')
([2, 2, 2008, 14, 2, 22], [2, 2, 2008, 14, 2, 22], 0, 116.46641, 39.9069, 'move')
([2, 2, 2008, 14, 2, 27], [2, 2, 2008, 14, 2, 27], 0, 116.46643, 39.90689, 'move')
([2, 2, 2008, 14, 2, 32], [2, 2, 2008, 14, 2, 32], 0, 116.46642, 39.90686, 'move')
([2, 2, 2008, 14, 3, 27], [2, 2, 2008, 14, 3, 27], 0, 116.46901, 39.9069, 'move')
([2, 2, 2008, 14, 3, 37], [2, 2, 2008, 14, 3, 37], 0, 116.46917, 39.90688, 'move')
([2, 2, 2008, 14, 3, 47], [2, 2, 2008, 14, 3, 47], 0, 116.46919, 39.90707, 'move')
([2, 2, 2008, 14, 4, 2], [2, 2, 2008, 14, 4, 2], 0, 116.46974, 39.907, 'move')
([2, 2, 2008, 14, 4, 2], [2, 2, 2008, 14, 4, 2], 0, 116.46974, 39.907, 'move')
([2, 2, 2008, 14, 4, 27], [2, 2, 2008, 14, 4, 27], 0, 116.47039, 39.90684, 'move')
([2, 2, 2008, 14, 4, 37], [2, 2, 2008, 14, 4, 37], 0, 116.47047, 39.90692, 'move')
([2, 2, 2008, 14, 4, 42], [2, 2, 2008, 14, 4, 42], 0, 116.47047, 39.90692, 'move')
([2, 2, 2008, 14, 4, 42], [2, 2, 2008, 14, 4, 42], 0, 116.47047, 39.90692, 'move')
([2, 2, 2008, 14, 4, 47], [2, 2, 2008, 14, 4, 47], 0, 116.47047, 39.90692, 'move')
([2, 2, 2008, 14, 4, 52], [2, 2, 2008, 14, 4, 52], 0, 116.47047, 39.90692, 'move')
([2, 2, 2008, 14, 4, 57], [2, 2, 2008, 14, 4, 57], 0, 116.47047, 39.90692, 'move')
([2, 2, 2008, 14, 5, 2], [2, 2, 2008, 14, 5, 2], 0, 116.47047, 39.90692, 'move')
([2, 2, 2008, 14, 5, 7], [2, 2, 2008, 14, 5, 7], 0, 116.47047, 39.9069, 'move')
([2, 2, 2008, 14, 5, 37], [2, 2, 2008, 14, 5, 37], 0, 116.47104, 39.90631, 'move')
([2, 2, 2008, 14, 5, 42], [2, 2, 2008, 14, 5, 42], 0, 116.47104, 39.90631, 'move')
([2, 2, 2008, 14, 5, 47], [2, 2, 2008, 14, 5, 47], 0, 116.47104, 39.90632, 'move')
([2, 2, 2008, 14, 5, 57], [2, 2, 2008, 14, 5, 57], 0, 116.47072, 39.90681, 'move')
([2, 2, 2008, 14, 6, 2], [2, 2, 2008, 14, 6, 2], 0, 116.47072, 39.90681, 'move')
([2, 2, 2008, 14, 6, 7], [2, 2, 2008, 14, 6, 7], 0, 116.47073, 39.90681, 'move')
([2, 2, 2008, 14, 6, 12], [2, 2, 2008, 14, 6, 12], 0, 116.47073, 39.90681, 'move')
([2, 2, 2008, 14, 6, 17], [2, 2, 2008, 14, 6, 17], 0, 116.47073, 39.90681, 'move')
([2, 2, 2008, 14, 6, 37], [2, 2, 2008, 14, 6, 37], -1, 116.4714, 39.90662, 'move')
([2, 2, 2008, 14, 6, 32], [2, 2, 2008, 14, 7, 52], 15.0, 116.47142437499997, 39.90665312499999, 'sp')
([2, 2, 2008, 14, 7, 52], [2, 2, 2008, 14, 7, 52], 15.0, 116.4714, 39.90662, 'move')
([2, 2, 2008, 14, 8, 52], [2, 2, 2008, 14, 8, 52], 0, 116.47187, 39.9121, 'move')
([2, 2, 2008, 14, 8, 57], [2, 2, 2008, 14, 8, 57], 0, 116.47185, 39.91216, 'move')
([2, 2, 2008, 14, 9, 27], [2, 2, 2008, 14, 9, 27], -1, 116.47069, 39.91195, 'move')
([2, 2, 2008, 14, 9, 27], [2, 2, 2008, 14, 10, 13], 13.0, 116.47068214285717, 39.91197714285715, 'sp')
([2, 2, 2008, 14, 10, 13], [2, 2, 2008, 14, 10, 13], 13.0, 116.47069, 39.912, 'move')
([2, 2, 2008, 14, 11, 13], [2, 2, 2008, 14, 11, 13], 0, 116.46666, 39.91235, 'move')
([2, 2, 2008, 14, 13, 3], [2, 2, 2008, 14, 13, 3], -1, 116.45638, 39.91225, 'move')
([2, 2, 2008, 14, 12, 58], [2, 2, 2008, 14, 14, 23], 17.0, 116.45636444444446, 39.91227000000001, 'sp')
([2, 2, 2008, 14, 14, 23], [2, 2, 2008, 14, 14, 23], 17.0, 116.45636, 39.91227, 'move')
([2, 2, 2008, 14, 17, 33], [2, 2, 2008, 14, 17, 33], 0, 116.45496, 39.90004, 'move')
([2, 2, 2008, 14, 17, 48], [2, 2, 2008, 14, 17, 48], 0, 116.45507, 39.90003, 'move')
([2, 2, 2008, 14, 18, 33], [2, 2, 2008, 14, 18, 33], 0, 116.45507, 39.89848, 'move')
([2, 2, 2008, 14, 19, 3], [2, 2, 2008, 14, 19, 3], 0, 116.45502, 39.89653, 'move')
([2, 2, 2008, 14, 19, 8], [2, 2, 2008, 14, 19, 8], 0, 116.45495, 39.89604, 'move')
([2, 2, 2008, 14, 19, 13], [2, 2, 2008, 14, 19, 13], 0, 116.45477, 39.89583, 'move')
([2, 2, 2008, 14, 21, 33], [2, 2, 2008, 14, 21, 33], 0, 116.44967, 39.89301, 'move')
([2, 2, 2008, 14, 21, 38], [2, 2, 2008, 14, 21, 38], 0, 116.44966, 39.89301, 'move')
([2, 2, 2008, 14, 21, 43], [2, 2, 2008, 14, 21, 43], 0, 116.44965, 39.89294, 'move')
([2, 2, 2008, 14, 21, 58], [2, 2, 2008, 14, 21, 58], 0, 116.44954, 39.89264, 'move')
([2, 2, 2008, 14, 23, 3], [2, 2, 2008, 14, 23, 3], 0, 116.44938, 39.8895, 'move')
([2, 2, 2008, 14, 23, 8], [2, 2, 2008, 14, 23, 8], 0, 116.44936, 39.88945, 'move')
([2, 2, 2008, 14, 23, 13], [2, 2, 2008, 14, 23, 13], 0, 116.44936, 39.88943, 'move')
([2, 2, 2008, 14, 23, 28], [2, 2, 2008, 14, 23, 28], 0, 116.44946, 39.88892, 'move')
([2, 2, 2008, 14, 23, 53], [2, 2, 2008, 14, 23, 53], 0, 116.44947, 39.8879, 'move')
([2, 2, 2008, 14, 23, 58], [2, 2, 2008, 14, 23, 58], 0, 116.44948, 39.88776, 'move')
([2, 2, 2008, 14, 24, 3], [2, 2, 2008, 14, 24, 3], 0, 116.44945, 39.88761, 'move')
([2, 2, 2008, 14, 24, 28], [2, 2, 2008, 14, 24, 28], 0, 116.44948, 39.88689, 'move')
([2, 2, 2008, 14, 25, 38], [2, 2, 2008, 14, 25, 38], -1, 116.45, 39.88372, 'move')
([2, 2, 2008, 14, 25, 33], [2, 2, 2008, 14, 26, 18], 10.0, 116.44999454545456, 39.8837109090909, 'sp')
([2, 2, 2008, 14, 26, 18], [2, 2, 2008, 14, 26, 18], 10.0, 116.45, 39.88372, 'move')
([2, 2, 2008, 14, 27, 3], [2, 2, 2008, 14, 27, 3], 0, 116.44994, 39.88197, 'move')
([2, 2, 2008, 14, 27, 8], [2, 2, 2008, 14, 27, 8], 0, 116.44997, 39.8819, 'move')
([2, 2, 2008, 14, 27, 28], [2, 2, 2008, 14, 27, 28], 0, 116.45, 39.8812, 'move')
([2, 2, 2008, 14, 27, 33], [2, 2, 2008, 14, 27, 33], 0, 116.45005, 39.88118, 'move')
([2, 2, 2008, 14, 27, 43], [2, 2, 2008, 14, 27, 43], 0, 116.45005, 39.88117, 'move')
([2, 2, 2008, 14, 27, 48], [2, 2, 2008, 14, 27, 48], 0, 116.45006, 39.88116, 'move')
([2, 2, 2008, 14, 27, 53], [2, 2, 2008, 14, 27, 53], 0, 116.45005, 39.88113, 'move')
([2, 2, 2008, 14, 27, 58], [2, 2, 2008, 14, 27, 58], 0, 116.45005, 39.88113, 'move')
([2, 2, 2008, 14, 28, 43], [2, 2, 2008, 14, 28, 43], 0, 116.44781, 39.88024, 'move')
([2, 2, 2008, 14, 28, 53], [2, 2, 2008, 14, 28, 53], 0, 116.44704, 39.88027, 'move')
([2, 2, 2008, 14, 29, 23], [2, 2, 2008, 14, 29, 23], 0, 116.44494, 39.88019, 'move')
([2, 2, 2008, 14, 29, 28], [2, 2, 2008, 14, 29, 28], 0, 116.44494, 39.88019, 'move')
([2, 2, 2008, 14, 29, 33], [2, 2, 2008, 14, 29, 33], 0, 116.44494, 39.88019, 'move')
([2, 2, 2008, 14, 29, 38], [2, 2, 2008, 14, 29, 38], 0, 116.44494, 39.88019, 'move')
([2, 2, 2008, 14, 29, 43], [2, 2, 2008, 14, 29, 43], 0, 116.44495, 39.8802, 'move')
([2, 2, 2008, 14, 29, 48], [2, 2, 2008, 14, 29, 48], 0, 116.44495, 39.8802, 'move')
